text,source,category,sentiment_score,word_count,char_count,has_images,has_videos,readability_score,num_shares,num_comments,political_bias,fact_check_rating,is_satirical,trust_score,source_reputation,clickbait_score,plagiarism_score,label
3501,3,5,0,333,7279,0,1,57,33510,316,0,1,1,69,8,0,38,1
3512,0,1,0,181,5258,0,1,45,35015,463,2,0,0,91,2,0,38,0
3523,5,5,0,426,3331,0,1,37,30364,133,2,0,0,2,6,0,70,0
3534,3,0,0,587,7338,1,0,48,34498,982,1,2,1,49,3,0,73,1
3545,12,3,0,1023,6384,0,1,50,29139,309,0,1,1,76,2,0,96,1
3557,12,5,0,1138,7501,1,0,62,23392,965,0,1,0,69,4,0,24,1
3568,4,5,0,966,2609,0,1,69,5615,262,1,0,1,32,5,0,78,1
3579,2,1,0,607,2603,0,0,59,46294,111,1,0,1,46,7,0,6,1
3590,5,3,0,593,6145,1,0,36,40148,853,2,0,1,5,9,0,19,1
3601,12,4,0,1211,3807,0,1,32,18580,926,2,1,1,87,2,0,89,0
3612,12,0,0,1007,5854,0,1,57,2508,637,2,2,0,17,6,0,15,0
3623,6,3,0,909,609,1,1,31,31922,326,0,2,1,26,1,0,20,0
3634,11,2,0,1254,6858,0,1,76,4249,727,0,1,1,21,9,0,56,0
3645,11,1,0,770,623,1,0,64,10643,572,1,0,0,99,10,0,85,0
3656,7,1,0,670,5158,0,0,74,25484,629,2,2,0,18,9,0,35,1
3668,9,0,0,508,3086,1,1,48,12675,266,2,2,0,3,3,0,51,0
3679,11,4,0,1480,7595,1,1,37,16905,672,1,1,0,0,2,0,91,1
3690,8,0,0,243,4096,0,1,40,17756,670,2,1,0,31,10,0,92,1
3701,11,1,0,942,3194,0,1,57,32459,31,0,1,0,38,5,0,6,0
3712,2,3,0,1379,2094,0,0,61,46998,285,2,0,0,32,8,0,36,0
3723,7,1,0,116,6478,1,0,62,6376,796,1,0,1,43,8,0,22,0
3734,7,1,0,1068,6486,0,1,51,36930,145,2,0,1,82,9,0,65,1
3745,11,4,0,1161,3863,1,1,69,40522,19,1,0,1,61,10,0,33,0
3756,12,1,0,983,3124,1,1,46,21317,597,1,1,0,100,8,0,60,0
3767,0,0,0,1316,6500,0,0,78,31671,501,2,2,1,61,1,0,99,1
3779,0,4,0,1158,3873,1,1,53,38582,607,1,1,1,38,8,0,86,0
3790,4,1,0,1493,4533,1,0,71,32719,184,2,2,0,45,2,0,12,0
3801,5,2,0,1000,2533,0,1,47,13633,890,2,1,0,45,3,0,0,1
3812,2,4,0,1263,4452,1,1,59,33044,634,0,2,0,12,7,0,67,0
3823,3,5,0,797,1870,1,1,31,23538,853,0,0,1,39,1,0,64,0
3834,7,0,0,1136,7243,0,1,71,46131,348,0,0,0,79,6,0,84,1
3845,5,3,0,711,3895,0,0,65,37830,710,0,2,1,84,10,0,4,1
3856,9,0,0,744,2387,0,0,44,43249,851,1,1,0,80,3,0,19,1
3867,7,4,0,501,4378,1,0,44,45415,398,2,1,0,49,3,0,49,0
3878,8,1,0,1306,5347,1,1,76,39136,244,0,0,0,90,9,0,0,1
3890,11,3,0,1175,5473,0,0,77,8996,781,2,1,1,60,1,0,33,1
3901,0,3,0,830,5414,1,1,37,34318,441,1,1,1,18,10,0,65,1
3912,1,4,0,798,7881,1,0,43,32056,770,1,0,1,73,4,0,74,0
3923,9,0,0,184,730,1,0,66,22636,919,0,0,1,65,8,0,17,1
3934,3,2,0,269,2694,0,0,65,3154,915,1,2,1,22,9,0,71,1
3945,7,1,0,1475,2539,0,1,78,3858,860,1,2,0,24,7,0,24,1
3956,2,1,0,701,3687,0,1,35,44801,860,2,0,0,85,5,0,94,1
3967,0,3,0,104,4978,0,0,79,13697,347,2,0,1,60,10,0,15,0
3978,8,2,0,764,6071,1,1,55,46591,442,1,0,0,69,5,0,60,1
3989,9,3,0,432,3405,1,1,70,21384,685,2,0,1,23,7,0,21,1
2,2,2,0,1163,5773,0,0,56,9178,286,1,2,1,31,6,0,7,1
13,8,3,0,342,4028,1,1,50,17268,249,2,2,1,38,7,0,66,1
24,6,5,0,1197,6382,1,1,60,7044,51,0,0,0,14,4,0,7,1
35,2,3,0,189,5845,1,0,74,31891,390,0,2,0,80,4,0,71,1
46,5,2,0,227,7398,0,1,67,14911,85,0,1,1,60,6,0,5,1
57,6,3,0,777,931,0,0,55,34694,784,2,0,1,3,8,0,31,0
68,7,0,0,826,4634,0,0,63,34952,136,1,0,0,7,1,0,76,0
79,9,0,0,1394,6346,1,0,57,27140,410,1,0,1,25,9,0,41,1
90,9,3,0,461,7878,1,1,43,49365,749,2,2,1,1,5,0,59,0
101,3,2,0,383,4971,0,1,63,45877,79,2,2,1,58,1,0,53,0
113,6,1,0,188,7107,0,1,66,5487,345,0,2,0,98,4,0,78,0
124,3,3,0,1225,6566,0,1,55,35913,718,2,0,0,53,4,0,28,0
135,3,3,0,144,7002,0,0,49,15151,161,0,2,0,95,9,0,93,0
146,7,2,0,859,3545,1,1,59,47939,809,2,0,1,98,5,0,54,0
157,9,2,0,307,516,0,1,52,16008,708,2,0,1,16,1,0,21,1
168,6,0,0,1420,6688,1,0,41,41679,157,2,0,0,60,9,1,71,1
179,8,1,0,1193,3066,0,1,35,22365,25,1,1,0,98,10,0,76,1
190,7,3,0,1019,5215,1,0,41,24236,738,0,2,0,75,5,0,72,0
201,1,4,0,844,988,1,0,64,37244,829,2,2,1,48,6,0,73,0
212,7,1,0,967,3892,1,0,51,11474,248,2,2,1,44,10,0,40,1
224,6,0,0,185,7621,0,0,58,21813,686,2,2,0,80,1,0,69,0
235,11,0,0,104,4158,0,0,54,44815,336,2,2,0,4,7,0,76,0
246,3,0,0,1412,1551,1,0,51,44202,594,0,1,0,29,4,0,51,1
257,4,4,0,451,6972,0,1,57,7401,580,0,1,1,42,5,0,55,0
268,4,4,0,1230,2093,0,0,38,44859,61,1,0,0,78,1,0,34,0
279,5,3,0,229,4163,0,0,59,35882,261,2,0,0,38,1,0,4,1
290,0,4,0,961,5125,0,1,43,10808,807,0,1,1,2,1,0,77,0
301,8,3,0,1090,4521,1,1,56,25301,476,1,0,1,77,8,0,3,1
312,10,5,0,808,3773,0,1,69,4975,527,1,1,0,9,10,0,89,0
323,6,3,0,1258,4182,0,0,65,29410,51,1,2,0,64,5,0,50,1
335,3,0,0,1466,2203,1,0,44,7783,420,1,2,1,66,10,0,0,1
346,7,4,0,1323,7879,0,0,74,1478,507,2,0,1,68,10,0,19,0
357,6,4,0,155,2747,1,0,58,33601,719,0,1,1,31,8,0,8,0
368,11,2,0,631,4129,0,1,37,28271,244,2,1,1,35,6,0,54,0
379,4,1,0,1043,2205,0,0,65,19203,445,1,1,1,1,5,0,83,0
390,11,3,0,235,3299,1,1,50,36868,751,1,1,0,35,9,0,19,0
401,10,0,0,427,2583,0,0,49,36491,849,2,2,1,21,9,0,17,1
412,1,3,0,715,762,0,0,53,45178,70,0,0,1,91,5,0,57,0
423,4,1,0,425,4724,0,0,58,18609,625,0,0,1,9,8,0,59,0
434,5,2,0,435,3387,1,0,55,23751,547,2,1,0,38,3,0,87,0
446,12,1,0,1243,3137,1,1,36,22221,510,0,0,1,75,6,0,59,0
457,0,1,0,956,7643,0,1,77,17531,143,0,2,0,59,6,0,28,1
468,8,3,0,315,2661,1,1,73,10601,223,2,0,1,65,1,0,42,1
479,7,0,0,1213,2470,0,0,79,22432,537,1,0,0,8,2,0,11,1
490,2,5,0,1010,3664,1,1,40,43630,411,1,0,1,55,1,0,48,0
501,8,2,0,1238,4974,1,0,31,42190,470,0,1,0,14,5,0,77,1
512,8,2,0,584,4636,0,1,51,695,103,0,1,0,79,3,0,78,0
523,7,3,0,1276,5822,0,0,38,38226,389,0,0,0,58,9,0,55,1
534,7,3,0,224,7447,0,0,41,4600,280,1,1,1,59,4,0,21,1
545,5,3,0,387,734,0,1,42,18547,873,1,1,0,43,3,0,10,1
557,8,0,0,1094,730,1,0,40,3084,716,1,1,0,70,4,0,23,1
568,2,0,0,850,5649,0,1,52,38421,774,2,1,0,21,4,0,51,1
579,5,1,0,930,4262,1,0,68,28109,502,1,1,0,12,6,0,79,0
590,0,1,0,749,7887,0,1,38,9400,898,0,0,0,86,7,0,71,0
601,6,0,0,756,837,0,0,69,33677,856,2,0,1,96,1,0,51,1
612,0,1,0,704,3356,1,1,57,39714,989,0,1,0,3,2,0,55,1
623,1,0,0,229,1502,1,1,73,13248,125,1,2,1,13,4,0,90,0
634,7,2,0,221,4838,1,0,70,26842,974,1,1,1,10,5,0,5,1
645,8,5,0,638,7477,0,1,53,23033,455,1,1,0,56,10,0,80,0
656,3,1,0,146,3014,0,0,53,4112,942,1,0,0,20,8,1,44,1
668,0,5,0,1078,7109,0,0,57,28233,335,2,0,1,33,3,0,52,1
679,6,3,0,609,2796,1,1,51,47004,6,2,1,0,0,10,0,7,1
690,9,3,0,1228,5873,1,0,71,36098,753,2,2,1,99,2,0,20,0
701,6,1,0,796,4276,0,0,54,25148,490,1,2,0,25,1,0,3,0
712,9,0,0,796,4276,0,0,54,25148,490,0,2,1,62,9,0,28,0
723,7,4,0,796,4276,0,0,54,25148,490,2,2,0,100,9,0,32,0
734,12,4,0,796,4276,0,0,54,25148,490,2,1,0,3,4,0,9,0
745,1,2,0,796,4276,0,0,54,25148,490,1,1,0,71,6,0,97,1
756,5,4,0,796,4276,0,0,54,25148,490,0,2,1,75,7,0,25,1
767,10,1,0,796,4276,0,0,54,25148,490,0,0,0,69,7,0,43,0
779,4,1,0,796,4276,0,0,54,25148,490,2,0,0,75,8,0,38,0
790,9,5,0,796,4276,0,0,54,25148,490,2,0,0,49,9,0,22,0
801,2,4,0,796,4276,0,0,54,25148,490,2,0,0,46,8,0,19,1
812,7,1,0,796,4276,0,0,54,25148,490,0,0,1,75,8,0,79,1
823,12,0,0,796,4276,0,0,54,25148,490,1,2,1,3,3,0,23,1
834,5,5,0,796,4276,0,0,54,25148,490,1,1,0,4,8,0,87,0
845,1,0,0,796,4276,0,0,54,25148,490,0,0,1,0,7,0,23,1
856,7,4,0,796,4276,0,0,54,25148,490,2,2,0,46,3,0,85,1
867,10,5,0,796,4276,0,0,54,25148,490,2,2,1,12,6,0,13,1
878,2,5,0,796,4276,0,0,54,25148,490,0,0,1,71,1,0,80,1
890,11,0,0,796,4276,0,0,54,25148,490,2,0,1,50,8,0,22,0
901,12,5,0,796,4276,0,0,54,25148,490,0,0,0,39,7,0,92,1
912,6,5,0,796,4276,0,0,54,25148,490,0,0,0,18,3,0,62,1
923,8,0,0,796,4276,0,0,54,25148,490,2,0,0,17,9,0,43,1
934,9,0,0,796,4276,0,0,54,25148,490,0,0,0,83,10,0,74,1
945,3,5,0,796,4276,0,0,54,25148,490,1,2,0,56,9,0,48,1
956,3,4,0,796,4276,0,0,54,25148,490,2,0,0,69,9,0,33,0
967,5,1,0,796,4276,0,0,54,25148,490,2,0,0,45,4,0,62,1
978,7,2,0,796,4276,0,0,54,25148,490,0,1,0,39,5,0,31,1
989,10,5,0,796,4276,0,0,54,25148,490,1,1,0,61,1,0,8,1
1001,3,4,0,796,4276,0,0,54,25148,490,1,1,1,19,8,0,5,1
1012,0,3,0,796,4276,0,0,54,25148,490,0,0,1,11,9,0,40,0
1023,3,5,0,796,4276,0,0,54,25148,490,1,0,1,46,9,0,32,0
1034,2,4,0,796,4276,0,0,54,25148,490,1,1,1,30,3,0,80,1
1045,3,3,0,796,4276,0,0,54,25148,490,0,2,1,51,3,0,61,0
1056,4,0,0,796,4276,0,0,54,25148,490,1,2,0,32,8,0,29,1
1067,10,3,0,796,4276,0,0,54,25148,490,2,0,0,19,5,0,2,1
1078,6,5,0,1388,4072,0,0,51,27425,633,1,1,0,46,10,0,12,1
1089,5,1,0,1416,3514,1,0,47,18312,841,2,2,1,23,4,0,39,0
1100,10,2,0,1452,4253,0,1,44,20617,342,1,1,0,80,1,0,21,1
1113,5,4,0,177,5727,1,1,35,37428,502,1,1,0,94,3,0,4,1
1124,2,5,0,911,4565,0,0,79,10046,850,2,1,0,70,5,0,77,1
1135,8,3,0,1251,2808,0,1,62,35955,587,1,0,0,100,4,0,80,1
1146,7,2,0,1043,6004,0,0,63,23449,837,2,0,0,43,4,0,60,0
1157,2,2,0,1459,1923,1,0,78,16565,478,1,0,0,98,3,0,2,1
1168,9,0,0,475,3948,1,1,77,28861,5,2,2,0,95,9,0,14,1
1179,5,0,0,483,2828,1,0,69,18479,326,2,2,0,39,10,0,22,0
1190,4,1,0,196,3212,1,1,33,4920,479,1,0,0,4,10,0,45,1
1201,7,1,0,967,1327,0,0,57,40980,640,2,0,1,68,4,0,6,1
1212,7,3,0,648,549,1,1,62,31786,462,0,0,1,62,6,0,91,1
1224,8,4,0,206,7054,0,1,55,38747,981,0,1,0,82,8,0,43,0
1235,12,5,0,718,2432,1,0,45,35526,983,1,0,0,98,6,0,9,0
1246,9,0,0,568,7760,0,0,75,30643,873,0,0,1,98,2,0,88,1
1257,2,3,0,619,5163,1,1,66,28891,142,2,0,0,71,2,0,26,1
1268,12,3,0,485,5358,1,0,61,22714,489,1,1,1,99,4,0,73,1
1279,4,3,0,502,2659,0,0,78,20776,575,1,1,0,99,5,0,25,1
1290,1,3,0,949,7439,1,1,31,43845,257,0,1,0,91,5,0,87,1
1301,8,5,0,1416,1691,1,1,66,35611,661,1,2,1,79,5,0,43,0
1312,5,0,0,1465,6253,0,1,37,14330,256,1,2,0,82,1,0,90,1
1323,10,1,0,655,2741,0,0,63,46087,737,0,0,0,100,8,0,51,0
1335,8,5,0,1387,1915,0,1,43,12915,239,0,2,0,43,5,0,56,1
1346,11,3,0,456,671,0,1,76,46201,98,2,0,1,85,10,0,35,0
1357,4,3,0,1089,4394,0,1,40,24005,659,1,0,0,2,6,0,74,1
1368,2,5,0,1362,6478,0,0,36,20771,572,1,1,1,12,2,0,47,1
1379,11,5,0,1099,3239,1,0,44,34564,839,2,1,1,1,10,0,7,0
1390,9,1,0,318,5084,1,0,35,4745,419,1,1,1,13,1,0,29,0
1401,10,4,0,1325,5353,0,0,73,43036,557,2,1,0,26,10,0,36,0
1412,1,0,0,605,6125,1,0,41,24140,285,2,2,0,66,8,0,84,0
1423,0,3,0,203,2673,1,1,42,437,469,2,1,0,64,9,0,17,0
1434,1,3,0,1324,1244,0,0,45,17995,830,0,1,1,50,10,0,0,0
1446,2,4,0,1006,3864,0,0,42,5733,88,0,1,0,9,10,0,83,0
1457,8,5,0,1321,6401,1,1,36,15466,355,0,1,0,92,6,0,38,1
1468,8,5,0,793,3714,0,1,47,4388,654,1,0,0,11,6,0,98,1
1479,9,5,0,720,1678,0,1,43,19558,376,0,2,0,59,4,0,67,1
1490,4,5,0,189,2233,1,0,52,45213,820,2,0,1,43,6,0,2,1
1501,2,1,0,722,969,1,1,63,3303,331,2,2,0,25,4,0,35,0
1512,12,5,0,1140,5822,0,1,75,7272,366,0,1,0,21,8,0,51,1
1523,8,3,0,1245,3750,1,1,35,11152,370,1,2,0,86,4,0,4,0
1534,2,2,0,1315,6728,0,1,42,4079,755,2,1,1,70,10,0,37,1
1545,6,3,0,420,6776,0,0,70,14122,391,2,2,0,62,10,0,13,0
1557,9,2,0,1475,3777,1,0,67,20029,780,0,2,1,39,1,0,62,0
1568,11,0,0,1345,2049,0,0,38,13000,856,1,1,1,76,6,0,96,0
1579,2,0,0,346,2792,1,1,42,39897,518,0,0,0,42,4,0,35,0
1590,2,3,0,749,7129,1,0,30,25874,475,1,0,0,51,5,0,49,1
1601,7,4,0,949,683,1,1,78,18029,208,0,0,1,12,6,0,8,1
1612,4,0,0,696,4228,0,1,41,41770,712,2,2,0,40,6,0,5,1
1623,8,5,0,244,3939,0,0,57,37461,150,1,1,1,18,2,0,38,0
1634,7,2,0,568,4427,1,0,63,43340,168,1,0,1,17,10,0,33,0
1645,12,1,0,156,1962,0,0,38,9841,602,2,2,1,3,10,0,16,0
1656,3,0,0,1129,7651,0,0,32,47947,953,2,1,1,17,7,0,30,0
1668,2,4,0,627,2499,1,0,48,33936,368,1,1,0,54,1,0,2,1
1679,10,1,0,827,6785,0,1,59,21712,5,1,0,0,8,3,0,71,0
1690,4,4,0,598,1309,0,1,69,9705,613,1,2,1,2,8,0,2,1
1701,3,5,0,664,3296,1,1,63,33825,38,2,1,0,15,2,0,35,0
1712,10,2,0,1350,4708,0,1,59,13197,861,1,1,0,60,6,0,82,0
1723,1,0,0,834,1449,0,1,40,31213,367,2,1,1,69,1,0,76,1
1734,7,5,0,740,1017,1,1,51,41530,870,1,1,0,52,8,0,48,0
1745,12,5,0,1441,5409,0,1,38,45387,802,2,1,0,41,5,0,90,0
1756,0,3,0,147,1067,1,0,61,1301,650,1,2,1,12,5,0,66,0
1767,10,0,0,114,1968,0,0,78,6060,730,2,0,1,54,5,0,65,0
1779,6,4,0,1260,2686,0,0,32,12265,673,2,2,0,7,6,0,48,1
1790,4,2,0,1399,6072,1,0,76,32474,22,1,2,0,74,10,0,23,0
1801,6,4,0,476,4869,0,0,67,49488,187,2,0,0,48,7,0,54,1
1812,7,5,0,119,7597,1,0,36,34583,274,0,2,1,93,9,0,36,1
1823,10,3,0,485,1123,1,0,38,10275,357,0,1,0,15,2,0,32,1
1834,12,1,1,1069,7505,1,1,63,43343,330,0,1,0,43,4,0,2,0
1845,1,0,0,890,7693,0,1,46,9413,342,1,2,1,92,6,0,31,1
1856,5,4,0,1039,5447,1,0,31,19907,418,0,1,1,72,2,0,6,0
1867,10,2,0,661,5886,1,1,45,26272,390,0,2,0,7,9,0,73,1
1878,7,4,0,584,5293,0,1,32,16282,726,1,1,0,39,8,0,96,1
1890,3,2,0,731,6755,0,0,64,39200,565,1,2,1,46,10,0,23,1
1901,4,5,0,1363,4571,1,0,66,8883,392,2,2,0,76,10,0,78,1
1912,12,0,0,414,5702,1,1,62,23376,266,2,0,0,6,6,0,24,1
1923,3,4,0,327,7889,0,0,32,28459,889,0,1,1,61,10,0,6,0
1934,12,1,0,420,2658,0,1,79,34208,164,2,2,1,49,1,0,16,1
1945,8,1,0,1349,3808,0,0,76,18734,79,0,1,1,78,10,0,63,0
1956,3,2,0,176,7603,0,0,73,8984,392,0,1,0,94,2,0,11,1
1967,5,3,0,1411,5512,0,0,58,19747,556,2,2,1,72,1,0,79,0
1978,5,4,0,1088,5934,1,1,51,41464,946,2,2,0,83,3,0,47,0
1989,9,1,0,1392,6496,1,1,33,25418,930,2,1,0,60,5,0,44,0
2001,1,0,0,1390,4840,1,0,55,5489,270,1,0,0,11,5,0,4,0
2012,5,3,0,1232,5643,0,0,66,14244,272,1,0,0,9,4,0,59,0
2023,2,0,0,405,5363,1,0,53,24572,974,2,1,1,96,2,0,35,0
2034,9,5,0,682,7541,0,1,57,14368,551,2,2,0,100,2,0,75,0
2045,3,1,0,548,5928,1,0,52,3902,807,0,0,0,35,4,0,78,1
2056,1,1,0,1236,6372,0,0,77,43806,156,1,2,1,39,7,0,18,1
2067,0,2,0,875,7193,0,0,78,26294,293,2,0,0,32,8,0,57,1
2078,6,1,0,1333,3957,1,0,78,24986,508,1,0,0,84,2,0,47,0
2089,8,0,0,1209,3222,1,0,79,42002,61,2,1,1,11,7,0,58,0
2100,6,3,0,1113,2338,1,1,46,332,865,2,0,0,3,8,0,11,1
2112,9,2,0,842,1661,1,0,52,35159,473,0,1,1,38,4,0,27,0
2123,11,1,-1,319,4466,0,0,49,29666,870,2,1,1,6,1,0,2,1
2134,3,0,0,1399,2899,1,0,31,3865,98,0,1,0,57,7,0,45,0
2145,11,1,0,1348,7625,1,0,67,35120,843,0,1,0,20,2,0,74,1
2156,7,3,0,1049,5407,1,0,35,47744,621,2,2,1,83,4,0,40,0
2167,3,0,0,1211,643,0,0,69,35292,387,1,2,1,18,7,0,87,1
2178,11,5,0,411,5895,1,1,55,9096,942,1,0,1,11,5,0,42,0
2189,5,4,0,540,544,0,0,74,47112,768,0,0,0,4,9,0,50,0
2200,5,0,0,1475,3580,1,1,62,39298,859,0,2,0,89,9,0,59,0
2211,1,4,0,286,7950,0,0,49,31488,933,0,1,1,94,8,0,75,1
2224,0,3,0,1120,968,1,0,42,46334,866,2,2,1,16,2,0,89,0
2235,0,2,0,1084,7164,0,0,61,6416,93,2,0,0,94,10,0,68,0
2246,11,2,0,366,7046,1,1,45,31963,526,1,2,0,66,9,0,21,1
2257,11,3,0,335,7549,0,0,52,13248,327,0,0,0,58,2,0,79,0
2268,12,3,0,1401,7422,1,0,33,40358,632,1,2,1,3,9,0,61,1
2279,0,0,0,873,5814,0,0,41,35049,959,0,1,1,11,7,0,27,0
2290,7,3,0,1126,7510,1,0,40,24248,157,0,1,0,76,8,0,49,0
2301,12,4,0,527,4586,1,1,42,3875,663,0,2,0,28,2,0,86,1
2312,3,2,0,912,1034,0,1,45,11700,3,2,1,1,21,7,0,24,1
2323,12,0,0,258,3797,0,1,44,32713,635,1,2,1,3,2,0,58,1
2335,6,5,0,230,6028,0,1,32,12403,979,1,1,1,38,7,0,7,0
2346,5,3,0,1028,2315,0,0,42,49510,407,0,0,1,93,4,0,38,1
2357,1,3,0,1277,5608,0,1,78,13386,402,0,0,1,88,8,0,35,1
2368,2,2,0,236,4034,0,1,55,5363,190,0,1,0,5,5,0,40,0
2379,6,0,0,113,5132,0,1,32,18048,290,2,1,1,34,6,0,37,1
2390,10,2,0,1107,3862,1,0,53,18127,336,1,0,1,79,9,0,47,0
2401,0,3,0,1277,5670,0,1,35,38357,633,0,1,1,35,3,0,85,1
2412,0,0,0,207,5474,1,1,42,47594,207,0,2,1,95,1,0,38,1
2423,7,5,0,270,862,1,1,52,4420,238,1,1,1,96,10,0,5,1
2434,1,2,0,930,2857,1,0,48,826,85,0,1,1,47,6,0,69,1
2446,1,1,0,119,604,0,1,75,35242,373,2,0,0,32,2,0,79,0
2457,5,1,0,1133,5447,1,1,75,49136,65,1,0,1,38,9,0,71,0
2468,3,1,0,266,1449,0,1,48,27864,41,0,0,1,98,6,1,17,1
2479,12,5,0,305,5103,1,0,63,21943,837,2,1,1,69,5,0,99,1
2490,9,3,0,259,2022,0,0,49,25379,369,1,0,0,51,2,0,13,1
2501,12,2,0,385,4015,0,0,47,25605,156,2,2,1,87,7,0,51,0
2512,3,3,0,1128,5272,0,1,78,13753,696,2,2,0,66,7,0,88,0
2523,6,2,0,312,5495,1,1,37,17478,35,2,2,1,81,4,0,54,0
2534,11,0,0,1455,5119,0,1,35,48561,145,2,1,0,31,3,0,49,0
2545,9,2,0,742,5267,1,1,31,41533,827,1,2,0,100,8,0,1,1
2557,12,3,0,1432,7797,0,0,48,28930,264,2,0,0,64,5,0,34,1
2568,6,4,0,572,1768,0,0,61,43049,935,0,1,0,50,5,0,1,0
2579,4,4,0,674,7235,0,0,75,29044,445,0,1,1,3,2,0,61,0
2590,1,2,0,533,2187,0,0,39,19290,646,1,1,0,20,2,0,44,0
2601,4,3,0,253,2797,1,1,42,39471,989,0,0,0,9,9,0,89,0
2612,8,0,0,202,1879,0,0,33,31365,3,0,2,1,24,1,0,29,1
2623,3,0,0,681,4028,0,1,62,43308,949,2,1,1,32,5,0,49,0
2634,11,1,0,415,597,0,0,75,600,89,2,2,0,0,5,0,42,1
