Income,Credit_Score,Loan_Amount,DTI_Ratio,Employment_Status,Approval
144554,374,55321,24,0,1
149598,709,20342,14,0,0
131449,524,92214,12,1,1
166120,555,120658,7,0,1
195001,843,84177,21,1,1
131867,756,98472,11,1,1
87945,553,37347,53,1,1
91984,750,38450,10,0,0
108040,627,11561,37,0,0
80623,692,47295,18,0,0
128755,717,72121,20,1,1
36322,511,13762,89,0,1
145037,306,40139,19,1,1
161091,525,29760,22,1,1
147308,329,45057,20,1,1
142523,430,71008,32,0,1
175161,327,113358,6,0,1
67639,351,25844,32,1,1
139196,634,100775,19,1,1
130510,558,62644,7,0,0
33653,658,22303,58,0,1
28134,553,1667,64,0,1
53088,784,8496,92,0,1
87172,677,16012,18,0,0
48337,326,25596,52,1,1
39922,548,23845,29,1,1
168355,342,113296,16,1,1
152634,649,112355,3,1,1
47666,743,31129,60,0,1
66173,834,18700,71,1,1
134183,574,33177,19,0,0
138175,549,75691,25,1,1
27523,806,6958,95,1,1
113015,564,37655,24,1,1
155430,495,32635,6,1,1
165536,546,129665,21,1,1
44393,601,27502,43,0,1
194053,677,146089,18,1,1
164281,638,93124,17,1,1
100379,557,16814,20,0,0
51340,848,13552,33,0,0
92482,837,38093,47,0,0
97659,532,24519,29,1,1
160020,429,6965,14,0,1
53103,802,1803,22,1,1
145492,751,25164,18,0,0
145233,416,53521,6,1,1
171262,354,40111,8,1,1
85061,421,55548,48,0,1
119713,761,39974,28,1,1
169062,361,27013,26,0,1
89375,383,32439,17,0,1
61034,302,30524,52,1,1
28556,537,10264,83,1,1
81190,570,39652,56,0,1
50087,530,10764,94,1,1
38719,361,26972,41,1,1
135121,427,91266,26,1,1
91367,812,65722,44,1,1
176771,340,85494,18,1,1
43940,534,2359,111,1,1
65925,781,43697,59,1,1
67576,746,33225,68,0,1
111215,718,43081,24,0,0
106456,721,38777,35,1,1
139229,390,34082,18,1,1
125952,826,87200,4,1,1
34209,492,12854,113,1,1
33529,508,18996,67,0,1
134849,796,4783,9,0,0
101461,314,54476,40,0,1
49743,772,11090,25,1,1
153397,579,110408,21,1,1
83892,767,19958,49,1,1
177123,820,19300,7,1,1
109096,819,1336,20,1,1
173862,801,118059,8,1,1
107147,686,43176,32,0,0
169893,692,108682,11,0,1
143987,690,87991,21,0,1
29704,429,20339,127,1,1
135423,402,60890,29,0,1
127473,458,62537,7,1,1
183383,707,22054,25,1,1
119617,624,95203,38,1,1
29410,370,21681,69,1,1
43692,744,7586,26,1,1
98503,329,43516,8,0,1
113969,683,20080,29,0,0
128016,484,23946,12,0,1
182453,546,38517,20,0,1
187222,560,67932,18,0,0
95400,461,58898,10,1,1
187493,734,120756,11,1,1
120845,794,32091,9,1,1
170683,602,6751,14,1,1
22122,350,17276,202,1,1
179138,660,50841,10,1,1
184691,399,11334,24,1,1
28746,673,3953,47,1,1
128921,479,18322,14,1,1
151542,579,34681,10,1,1
108792,417,10869,32,0,1
197294,706,96885,21,0,0
23648,570,5049,169,1,1
196377,568,100883,22,1,1
196904,539,7560,18,1,1
189778,364,122704,24,1,1
50585,443,3438,15,1,1
50440,399,36228,40,0,1
138919,679,98404,35,1,1
128759,401,81694,28,1,1
28576,679,15528,67,1,1
115075,401,49147,43,1,1
124369,582,17011,14,1,1
193740,517,6598,24,0,1
83850,428,27896,50,0,1
173716,521,87129,11,0,1
92685,448,71807,14,1,1
48816,326,1973,27,1,1
174364,631,46677,3,1,1
53228,731,8448,74,0,1
137512,670,78812,28,0,0
152078,526,6683,29,1,1
188647,331,126562,4,1,1
199856,410,117277,18,0,1
104439,451,17540,8,1,1
119851,843,60469,20,1,1
49992,520,30593,66,0,1
108848,764,55524,28,0,0
131873,620,34408,36,1,1
144326,368,110022,7,0,1
133213,398,18054,22,0,1
195639,425,93693,16,1,1
95400,619,14579,29,0,0
192159,793,29368,10,1,1
50116,585,15821,85,1,1
179644,573,48294,3,1,1
109082,659,24777,4,0,0
38241,445,2004,121,0,1
76395,685,30730,42,1,1
117007,619,75395,22,0,1
60784,461,4261,74,0,1
136159,734,80570,27,1,1
91609,520,15918,42,1,1
49069,590,32891,100,1,1
77807,704,4590,56,0,1
99015,516,34491,14,1,1
51453,307,29223,73,0,1
119669,845,66570,16,1,1
124089,343,3456,27,1,1
102066,739,54008,41,1,1
50192,714,22284,12,0,0
114857,390,14875,29,0,1
174369,710,21616,22,1,1
109001,526,23037,24,0,1
185996,416,134680,21,0,1
112038,451,14474,18,0,1
71713,477,11018,62,0,1
184613,805,118677,19,1,1
59572,750,31731,15,1,1
92004,357,67497,30,0,1
141043,762,8456,5,1,1
40114,392,20466,112,1,1
172129,342,50345,20,1,1
151430,454,60050,5,0,1
42106,816,6654,112,0,1
134755,749,69517,29,0,0
117740,589,54578,25,1,1
185383,642,87426,5,0,0
94487,558,20709,50,1,1
172761,444,82325,16,1,1
175986,386,99744,14,1,1
195666,839,111993,5,1,1
115052,616,29074,14,1,1
70333,531,11154,19,0,1
46513,819,35506,86,0,1
182013,434,99754,24,0,1
67407,469,3863,49,1,1
197304,543,75692,17,1,1
159987,544,127562,15,1,1
116427,751,37932,30,1,1
158270,728,108071,9,0,1
85536,353,63991,54,1,1
155242,427,11993,15,0,1
137786,825,109926,10,1,1
78205,761,61979,35,0,1
33960,705,13253,111,0,1
41392,683,1923,47,1,1
190383,643,37070,7,0,0
143851,442,59799,24,0,1
24981,562,5899,76,1,1
95524,543,16970,25,0,1
130054,768,15530,7,1,1
24308,827,8927,175,0,1
132522,301,47244,34,0,1
69103,387,24632,56,0,1
162627,819,73633,23,0,0
143243,344,51709,32,1,1
24257,665,12298,38,0,0
172542,640,12622,7,1,1
108748,479,61899,45,1,1
55350,364,3423,63,1,1
31483,504,11341,24,1,1
124392,784,5799,17,0,0
113578,348,44506,42,1,1
116474,747,58637,26,1,1
68973,808,25074,54,1,1
131280,380,79964,25,0,1
97009,628,11494,12,1,1
100346,756,56851,44,0,0
112155,757,47210,6,1,1
187633,358,107485,5,1,1
198103,463,38428,3,1,1
53090,368,25007,38,1,1
168699,333,41222,26,1,1
117521,754,76225,8,0,1
116193,707,86139,22,1,1
49739,326,33705,34,1,1
88623,566,29124,38,1,1
72475,425,56890,19,0,1
65260,755,45690,16,1,1
37023,597,28897,66,0,1
114763,820,16907,17,0,0
82058,805,24651,8,1,1
164610,432,116899,27,0,1
101078,707,69903,35,1,1
170706,375,84106,7,0,1
142115,829,17821,19,0,0
133408,814,17274,6,0,0
63163,465,47486,41,0,1
156025,590,33847,6,0,0
52812,610,35962,85,0,1
188031,472,41421,23,0,1
167749,342,22292,4,0,1
190689,515,110205,22,0,1
184407,596,80192,25,1,1
199566,715,119893,12,0,1
61439,750,32735,52,1,1
109179,447,42853,23,1,1
54279,679,37808,71,0,1
83370,777,36058,15,1,1
56930,399,20019,14,1,1
85082,463,41988,31,0,1
150617,827,66373,23,1,1
26075,392,17562,118,1,1
76398,661,4312,10,1,1
176635,781,3143,13,0,0
55110,570,27427,52,1,1
125010,352,74638,33,0,1
165024,595,51639,5,1,1
183379,421,26344,7,1,1
108889,674,27090,13,1,1
30552,346,5490,24,1,1
156139,767,80463,9,0,0
180712,626,104010,8,1,1
152989,821,65205,26,1,1
24361,677,4591,109,1,1
184956,327,125410,23,1,1
33462,791,18178,48,1,1
198448,548,151095,3,0,1
24964,751,14722,102,0,1
73448,720,51788,51,1,1
56197,831,37758,33,1,1
157750,685,23699,16,1,1
109738,662,85319,44,1,1
70400,552,37574,33,1,1
98017,595,65094,18,1,1
111436,580,16974,21,1,1
110474,449,6513,21,1,1
110797,752,34612,43,1,1
72970,577,46624,57,1,1
48633,545,4326,42,0,1
33760,402,11823,95,1,1
198570,440,145271,2,0,1
191151,787,53286,18,1,1
94819,360,31437,11,0,1
129546,480,53034,5,1,1
95882,338,40110,5,0,1
94596,765,72211,49,1,1
152176,779,26272,15,0,0
62596,769,17860,75,0,1
108371,602,26318,38,0,0
132119,827,12368,20,1,1
68439,443,22207,53,0,1
88363,692,59554,23,1,1
99153,311,48127,22,0,1
195056,421,81427,18,0,1
199850,814,31779,12,1,1
181120,526,36014,10,1,1
139269,682,93004,23,1,1
194088,523,22461,10,1,1
114839,379,15707,36,0,1
72994,849,11783,20,1,1
135825,419,27922,36,1,1
153791,756,60432,5,0,0
128901,767,8567,32,1,1
25706,705,1098,84,0,1
31872,733,23950,86,0,1
35795,370,2039,100,1,1
67181,438,48794,70,1,1
120264,759,50236,24,0,0
54862,656,12696,23,1,1
53383,528,2489,9,1,1
196553,734,100425,20,0,0
140750,654,37129,10,0,0
28445,729,1512,159,0,1
37639,403,2100,116,1,1
84155,345,58535,37,0,1
76955,357,34023,18,1,1
171023,626,85060,25,0,0
57554,833,28103,33,1,1
35979,479,23241,127,1,1
32290,652,22998,146,1,1
103554,726,20558,30,1,1
68202,850,16792,52,0,1
57840,774,37856,15,1,1
166089,842,102821,8,0,1
73303,638,6181,64,1,1
44238,848,4377,39,1,1
196599,340,50325,4,0,1
74759,640,2004,33,0,0
50753,790,14402,41,1,1
164724,629,50894,14,1,1
190058,667,69566,13,1,1
150358,777,106226,7,1,1
73248,679,28127,34,0,0
58252,316,37261,37,1,1
59953,500,16074,44,1,1
150888,645,101055,14,1,1
140803,472,23185,19,0,1
148009,488,85123,27,0,1
28866,376,2589,169,0,1
56042,536,10897,16,0,1
152574,766,8923,19,1,1
24123,306,19076,165,1,1
24384,842,18555,94,1,1
151652,740,15026,11,0,0
59032,546,41617,29,1,1
90077,706,49896,11,1,1
168111,549,79636,11,0,1
44510,715,25718,67,1,1
186919,309,22675,8,1,1
189058,639,25998,22,0,0
75421,786,4051,30,0,0
162352,333,122735,10,1,1
74305,447,6042,41,1,1
167838,546,103015,25,1,1
56687,380,23666,66,0,1
134580,537,45642,7,1,1
27766,579,17076,124,0,1
164975,684,25345,20,1,1
182166,602,20269,11,0,0
60428,689,11110,77,1,1
114555,409,1680,9,1,1
114350,576,18367,10,0,0
132978,759,73710,31,1,1
26884,391,19160,104,0,1
120987,312,55238,19,1,1
166679,548,45455,25,1,1
56396,575,18590,43,1,1
36585,471,10042,91,1,1
146938,378,33990,19,0,1
175662,500,29042,19,0,1
21774,705,13448,122,1,1
107749,740,78908,44,0,1
104060,505,42180,34,0,1
103660,598,65357,44,0,1
118580,587,48843,25,0,0
175248,484,8055,28,1,1
134938,598,105288,7,1,1
56484,610,17559,36,0,0
118825,375,79372,28,1,1
160081,818,72256,20,0,0
160746,387,101788,7,0,1
63604,345,43272,65,1,1
132841,408,13924,4,1,1
153870,831,77089,27,0,0
118073,700,90070,29,0,1
26438,794,10680,44,1,1
50426,445,21440,55,1,1
74229,833,23826,49,1,1
134862,763,9804,19,1,1
50168,323,8167,54,0,1
155264,478,21989,26,1,1
141124,537,83543,22,0,1
187897,742,8652,16,0,0
175242,739,2166,17,0,0
92966,364,14336,46,0,1
105454,501,15936,33,1,1
158337,620,51939,27,1,1
111206,660,81918,31,0,1
181083,386,36113,27,1,1
82540,612,12996,15,1,1
153909,697,79174,21,0,0
130897,490,84296,28,0,1
148356,595,25523,9,1,1
182374,354,3512,15,1,1
71151,693,34124,58,1,1
199489,803,117353,16,1,1
41671,331,10571,46,0,1
78941,850,12023,30,1,1
164107,823,76066,7,0,0
162372,675,108821,24,0,1
163223,523,14423,20,0,1
28449,760,12422,78,0,1
50772,542,39530,36,1,1
63511,442,14562,29,0,1
159534,587,71617,27,0,0
96712,596,36041,43,0,0
127897,360,86969,18,0,1
85451,449,33447,30,1,1
57269,575,28146,80,1,1
39796,395,17895,78,1,1
139195,799,77278,19,0,0
140179,666,105291,6,1,1
132628,516,36197,28,1,1
108540,433,64614,38,1,1
32043,401,16059,143,0,1
61414,751,1044,56,1,1
54580,609,18958,28,0,0
85638,384,22695,34,0,1
183998,612,113520,11,0,1
20284,518,2276,178,0,1
156169,755,2056,3,1,1
130707,435,10283,27,0,1
43417,404,21535,27,1,1
55947,691,43046,24,0,1
159069,308,86199,28,0,1
112061,518,20840,41,1,1
76949,388,10175,15,0,1
112152,739,19327,22,0,0
188983,386,146069,11,1,1
192597,608,136724,9,0,1
97474,355,65865,21,1,1
83198,811,10307,56,0,1
102961,435,75498,29,1,1
163224,476,126102,21,0,1
173973,369,69730,3,0,1
35851,707,10387,106,1,1
125454,384,71328,37,0,1
41914,617,17754,24,0,0
160611,634,77865,19,0,0
134684,544,33044,6,0,1
50405,764,4606,89,1,1
51311,312,1743,27,0,1
110886,835,34980,35,0,0
53274,575,2923,23,1,1
91298,836,35465,10,0,0
139327,823,8266,20,1,1
116387,461,14487,18,0,1
153385,302,113550,5,0,1
32053,783,13549,90,0,1
29270,729,11544,67,0,1
103869,577,75912,9,1,1
151607,353,30253,11,0,1
38068,776,26346,61,1,1
42645,767,25177,12,0,0
167798,611,64591,27,1,1
175108,805,65258,10,0,0
127488,324,71981,15,1,1
107822,301,50319,44,1,1
73790,842,28513,27,1,1
57322,586,3877,19,0,0
128280,681,99028,27,0,1
152494,436,108474,30,1,1
175161,363,35264,19,0,1
88417,622,43762,34,1,1
91291,539,27569,10,0,1
60739,408,30462,25,1,1
126564,423,47961,31,0,1
100821,774,16717,22,0,0
199845,611,11572,22,0,0
58882,393,24313,36,1,1
32832,606,6697,67,0,1
138541,555,61560,8,0,0
51838,312,15567,17,0,1
125010,681,83614,39,0,1
39657,322,7479,23,1,1
44111,639,3798,29,1,1
64037,743,33514,48,0,0
199100,736,93784,8,0,0
92084,586,20481,37,0,0
189680,602,109001,19,1,1
42995,586,9993,70,1,1
188467,838,143516,11,0,1
114139,791,64527,35,1,1
104306,697,24568,21,0,0
176530,524,74644,3,0,1
158787,666,31508,27,0,0
84974,546,8328,26,0,1
113009,477,32005,14,1,1
175074,328,38251,16,0,1
162114,616,65282,10,0,0
34724,538,8169,127,0,1
145301,300,81495,18,0,1
109327,481,8806,23,0,1
173776,445,138965,7,1,1
117934,705,14242,36,1,1
104568,439,58261,14,1,1
65666,665,44616,29,0,1
100431,601,24292,13,0,0
168762,333,84418,10,0,1
150071,444,98693,17,0,1
110914,627,84386,14,0,1
137081,311,28483,16,0,1
111876,562,1167,10,0,0
134876,729,55266,11,1,1
112073,684,63847,10,0,0
138302,375,39654,5,0,1
88453,407,45801,11,0,1
62180,376,7101,65,1,1
28124,741,6406,170,1,1
34039,403,7735,78,0,1
165257,571,74799,29,1,1
45143,350,33174,68,0,1
114589,303,12485,28,1,1
72343,399,14562,9,0,1
41479,784,11104,30,1,1
148213,571,85130,7,1,1
117260,690,25455,24,1,1
89021,750,35524,39,0,0
167913,363,26350,8,0,1
161937,723,30820,26,0,0
156991,728,91055,25,1,1
144849,606,52747,7,0,0
169741,829,39652,25,0,0
65319,471,13630,28,0,1
130985,380,58067,38,0,1
175988,564,18566,14,0,0
165847,706,86492,24,1,1
140103,312,78014,32,1,1
128643,453,75264,11,0,1
167504,403,91143,14,1,1
120412,797,80817,35,1,1
65141,582,10427,48,1,1
123754,639,7460,16,1,1
117633,320,40722,23,1,1
148875,400,18614,13,1,1
104113,575,80295,31,0,1
135793,516,98117,23,1,1
118018,357,21836,32,0,1
152853,713,103303,9,0,1
70531,505,17350,12,0,1
33253,669,9977,54,1,1
152415,706,17236,30,0,0
117639,800,59471,37,0,0
173847,658,43864,15,1,1
94729,328,7507,32,0,1
78025,530,14548,63,1,1
154553,320,2166,32,1,1
189704,477,3218,23,0,1
179473,612,73188,26,1,1
111412,770,29601,19,1,1
197522,833,105111,23,0,0
154090,683,85848,27,1,1
199414,410,17734,18,1,1
187928,632,69458,12,1,1
59303,829,4720,34,1,1
198456,443,131383,3,1,1
129724,714,97564,23,0,1
109959,527,71075,45,1,1
152989,607,111184,10,0,1
45586,782,17951,29,0,0
191556,391,94135,10,0,1
130224,639,35152,22,1,1
50875,781,39245,16,0,1
70998,812,45610,18,1,1
98212,723,20762,8,0,0
109828,719,60974,38,0,0
67279,382,22799,54,0,1
186330,359,119503,2,1,1
64198,462,51041,57,0,1
181082,744,113567,25,1,1
145147,692,5944,3,0,0
23690,629,7244,168,0,1
184282,554,91269,10,1,1
46924,692,21061,80,0,1
31984,605,15939,75,1,1
55072,650,24543,67,0,1
125746,319,30402,15,0,1
25744,816,5035,62,1,1
118354,561,82675,33,0,1
193531,410,6175,24,0,1
129255,754,17199,23,1,1
60141,510,42308,83,0,1
130328,403,69197,37,1,1
129792,407,95210,29,0,1
49887,408,14018,75,0,1
157139,506,93200,18,1,1
62040,340,33529,65,0,1
106665,540,2671,4,0,1
170510,805,24614,8,0,0
87080,536,39800,40,1,1
33128,402,2292,49,1,1
197410,620,31382,16,0,0
22535,441,6587,215,1,1
134744,574,49840,8,1,1
49840,710,30919,62,1,1
145369,731,105452,32,0,1
54737,360,7796,28,1,1
169145,748,100549,9,1,1
199428,433,128958,18,0,1
135523,347,35290,6,1,1
197714,837,149114,21,0,1
156078,835,13483,29,1,1
146334,654,89643,33,1,1
166366,355,42137,3,1,1
63359,376,22013,58,0,1
92917,351,30190,41,1,1
81603,380,30110,43,1,1
150667,757,16559,17,1,1
46907,713,3348,68,0,1
178388,611,55224,21,1,1
115248,355,60566,17,1,1
192272,672,30890,18,0,0
20575,649,14596,137,1,1
118013,408,22516,6,1,1
127272,409,81065,17,0,1
51652,702,30952,37,0,0
48250,724,9075,16,1,1
192610,816,131764,7,0,1
32732,743,16824,132,0,1
53654,406,40357,56,1,1
120837,728,91769,37,0,1
124299,651,60355,19,0,0
128198,824,92946,19,1,1
72661,514,47817,63,1,1
196258,435,47612,24,1,1
112337,791,75794,38,1,1
94954,732,69515,6,0,1
119842,448,88851,7,0,1
89986,464,33841,26,0,1
97369,508,5234,41,1,1
46864,529,26486,101,0,1
95402,348,51797,31,1,1
164736,355,98474,3,1,1
182676,753,97401,10,0,0
97116,759,10760,17,0,0
154701,422,6326,19,1,1
165908,570,43186,8,1,1
106655,777,6235,14,0,0
176468,352,79945,26,1,1
39105,625,8207,100,0,1
37872,817,14629,40,1,1
111593,526,87944,17,1,1
114580,600,82039,16,1,1
50073,654,16751,68,0,1
198926,628,30720,15,1,1
161619,589,120450,4,1,1
153361,756,6747,24,1,1
103968,826,13577,10,0,0
159776,307,9581,28,0,1
199674,734,54891,5,1,1
199842,457,121383,3,1,1
42943,375,12664,19,1,1
170722,533,107858,12,1,1
185207,714,83943,18,0,0
196501,421,2546,20,0,1
39028,666,4477,97,1,1
179007,388,115734,13,1,1
193204,331,41979,18,0,1
122496,602,19884,38,1,1
22922,444,2368,57,0,1
160811,387,28532,15,1,1
128174,824,22096,11,0,0
181712,558,31047,9,0,0
163878,772,73045,28,0,0
196078,368,26743,10,0,1
106730,665,31740,12,0,0
182402,371,84305,9,1,1
106073,613,20974,40,1,1
132278,472,42053,4,0,1
187991,746,95237,12,0,0
145817,773,48020,23,1,1
164617,411,85613,10,0,1
56700,501,42066,39,0,1
24883,819,2022,186,1,1
29609,566,18684,137,1,1
115897,701,78280,16,1,1
141818,813,12869,27,1,1
151640,310,32310,31,0,1
56797,756,12740,27,0,0
114056,341,64916,16,0,1
89299,678,6610,22,0,0
114699,697,60591,31,0,0
190006,631,137674,6,1,1
171684,478,100226,17,1,1
155440,557,119914,19,0,1
126389,661,64813,21,1,1
151553,442,22706,22,0,1
154883,587,20692,12,0,0
114954,421,31191,42,1,1
49711,793,32379,99,1,1
174872,465,108714,27,0,1
31310,430,20410,136,0,1
185030,824,39499,4,0,0
87701,484,54143,44,0,1
42478,521,31894,81,1,1
77504,720,10352,57,0,1
89342,471,45914,55,1,1
80244,687,9664,37,0,0
73044,835,45850,52,1,1
178731,398,125746,9,0,1
151944,420,64208,7,0,1
20314,741,7892,193,1,1
158888,739,124000,12,1,1
111886,400,18548,29,1,1
80951,385,40209,29,1,1
69550,305,38878,7,0,1
21885,684,7731,218,1,1
114966,409,56846,13,1,1
160536,733,48925,26,1,1
73397,723,52366,56,1,1
117049,795,41193,18,1,1
56193,421,30268,35,0,1
76218,820,52516,41,1,1
62136,698,1346,75,0,1
143645,745,9399,7,1,1
117212,381,5948,38,1,1
180947,833,16063,13,0,0
135073,310,87099,13,1,1
28810,822,8591,134,0,1
114303,544,1037,41,0,1
92335,709,52792,30,1,1
155723,315,121478,6,0,1
166568,656,73484,16,0,0
139212,713,1609,30,1,1
126727,818,74220,9,0,0
97136,648,68277,13,1,1
170704,556,99849,19,1,1
109040,769,61387,45,0,0
50479,564,26078,18,0,0
102766,722,68699,27,0,1
85079,594,53288,13,1,1
165372,482,83279,21,1,1
170395,575,50851,9,1,1
81567,547,14551,27,0,1
85456,664,14983,17,0,0
197160,804,2736,22,0,0
117306,622,76303,31,1,1
67938,823,27075,34,0,0
34194,838,16673,95,0,1
111039,703,23911,45,1,1
155844,771,91336,16,0,0
196712,515,153307,15,0,1
114791,565,72901,15,1,1
90623,782,45970,49,1,1
150749,734,55931,12,1,1
125012,586,24578,27,0,0
46180,576,29325,44,1,1
58232,453,1638,61,0,1
150966,437,68765,30,1,1
98652,556,75427,42,0,1
45945,467,15120,19,1,1
185114,398,88728,18,1,1
114452,563,3599,24,1,1
112036,503,76483,38,0,1
113089,632,67904,43,1,1
40554,690,10388,111,1,1
63928,645,42371,51,1,1
40738,465,8478,67,1,1
191183,598,104666,11,1,1
115201,833,55262,29,0,0
26055,428,9245,78,0,1
63754,706,7262,18,0,0
163768,355,102047,4,1,1
41823,406,21253,53,0,1
191660,699,61124,13,0,0
136171,429,70041,9,0,1
29215,665,16602,90,1,1
91411,755,71685,15,0,1
185425,745,140928,21,1,1
146262,532,58915,7,1,1
128056,566,40789,11,0,0
157184,439,38586,17,1,1
22180,803,10817,163,0,1
96787,536,72855,5,1,1
127934,747,33754,24,0,0
119184,525,11382,18,1,1
155426,578,85994,15,1,1
69283,370,9953,24,1,1
186957,766,119690,24,1,1
69227,628,10971,9,0,0
25801,490,10244,45,1,1
134928,308,12822,15,0,1
149388,522,56082,18,1,1
117359,774,44286,6,0,0
34690,572,3339,88,1,1
70382,556,55280,42,0,1
85263,694,33396,39,0,0
140805,396,88294,27,0,1
122006,619,21789,21,0,0
52018,559,20583,70,0,1
33654,523,8732,36,1,1
23949,471,4920,96,1,1
22340,343,16573,192,0,1
43456,554,33762,35,0,1
183874,361,94196,4,0,1
48152,428,16248,76,1,1
135007,497,91341,4,1,1
55319,556,32804,13,1,1
162274,801,75278,10,0,0
111138,631,37087,32,0,0
159234,458,39754,21,1,1
116236,764,84627,4,1,1
24907,672,8824,183,1,1
192566,696,138381,9,1,1
180704,589,108427,14,1,1
45233,835,5369,106,0,1
66829,332,8015,27,1,1
45887,332,26467,92,1,1
183570,562,97037,4,0,0
23430,513,17102,204,0,1
187488,362,147281,15,1,1
35283,572,2332,112,0,1
40430,521,4182,96,0,1
159371,694,26312,10,0,0
166387,725,94837,7,1,1
47289,470,37042,35,1,1
108476,461,79632,36,1,1
102615,632,55046,28,1,1
179491,546,57079,23,1,1
114374,763,53047,30,0,0
94575,316,18705,41,1,1
98730,527,42275,19,0,1
165139,823,41557,25,0,0
140683,664,19141,10,1,1
172608,555,68172,11,1,1
169549,709,57999,24,0,0
146493,477,109226,25,0,1
29796,690,2832,34,1,1
133850,726,101976,9,0,1
186169,691,80897,4,0,0
161539,453,66850,16,0,1
33243,702,25669,102,0,1
133229,596,20400,23,0,0
41638,787,25422,101,0,1
88827,387,66774,35,1,1
55355,792,13983,75,1,1
190983,500,138428,21,0,1
38781,572,11597,85,0,1
196094,723,96752,16,1,1
104079,652,4172,42,1,1
111676,752,20112,41,1,1
81207,504,25498,61,0,1
49457,355,10678,42,1,1
109986,413,59990,22,1,1
106999,514,28770,37,0,1
157171,564,64311,26,0,0
118725,839,34483,6,0,0
94452,505,36557,48,0,1
191640,308,102880,4,1,1
48283,319,26331,50,0,1
153310,401,64525,16,0,1
72133,812,37745,48,0,0
84852,842,44721,29,1,1
61157,318,45847,45,1,1
183900,609,132400,11,1,1
184047,563,8724,16,1,1
59769,649,44052,51,0,1
120193,833,81274,41,0,1
83009,456,64605,39,1,1
137747,434,86520,13,0,1
199319,507,82002,7,0,1
58050,461,5444,44,0,1
103256,449,42771,6,1,1
99520,753,36887,46,0,0
47989,434,2716,35,1,1
176332,537,7837,11,1,1
144938,437,111905,26,1,1
68228,696,32054,54,0,1
70661,531,27777,10,0,1
128277,527,27585,38,0,1
66419,749,33108,68,1,1
84692,737,6482,37,1,1
123324,849,85068,31,0,1
48656,762,3779,71,0,1
160999,705,74098,4,1,1
185320,350,77330,9,1,1
99837,592,22821,35,1,1
180729,355,38287,21,1,1
43708,812,12781,28,0,0
128412,631,4265,26,0,0
174747,506,24640,19,1,1
190020,467,24905,6,0,1
186218,671,138315,5,1,1
180451,463,100773,16,0,1
107868,453,19953,14,0,1
129990,615,96703,19,1,1
184220,485,35490,6,0,1
183200,559,121230,3,1,1
162475,305,116697,27,1,1
76852,787,27879,45,1,1
177605,306,73905,11,0,1
68454,451,43813,12,1,1
58109,333,38885,83,1,1
42990,350,28325,28,0,1
196184,591,151020,22,0,1
171772,668,25412,4,1,1
116618,688,57010,8,0,0
143421,437,92045,9,1,1
158163,723,28504,24,0,0
48652,841,32697,22,1,1
179604,624,138728,12,1,1
181032,808,131479,21,1,1
179752,538,51739,13,0,1
26287,776,4864,174,0,1
128538,346,46829,20,0,1
187934,506,67694,12,0,1
98717,818,43457,41,0,0
199787,641,104821,13,0,0
70860,638,45071,38,1,1
